6592.5,6594.0,6592.5,6593.75,BUY
6594.0,6594.0,6592.75,6593.5,SELL
6593.5,6609.75,6593.5,6609.0,BUY
6609.0,6609.0,6598.5,6599.0,SELL
6599.0,6600.25,6597.5,6600.0,BUY
6600.0,6600.75,6594.0,6594.75,SELL
6594.75,6596.75,6588.0,6589.5,SELL
6589.25,6594.5,6588.5,6594.25,BUY
6594.25,6595.0,6591.25,6591.5,SELL
6591.5,6593.0,6591.0,6591.5,HOLD
6591.5,6592.0,6590.0,6590.5,SELL
6590.5,6591.25,6588.5,6589.0,SELL
6589.0,6589.25,6583.0,6583.75,SELL
6584.0,6586.0,6583.0,6583.0,SELL
6583.0,6585.0,6582.5,6583.25,BUY
6583.5,6587.75,6583.5,6587.75,BUY
6587.25,6587.25,6584.75,6585.5,SELL
6585.5,6587.75,6585.5,6586.25,BUY
6586.25,6588.75,6586.0,6588.0,BUY
6588.0,6589.0,6586.75,6588.5,BUY
6588.25,6589.25,6587.25,6588.0,SELL
6588.25,6590.0,6588.25,6589.25,BUY
6589.5,6591.75,6589.5,6591.75,BUY
6591.5,6591.5,6589.25,6591.5,HOLD
6591.25,6595.75,6591.0,6595.25,BUY
6595.5,6597.75,6595.25,6597.25,BUY
6597.75,6598.5,6596.5,6598.0,BUY
6598.25,6599.25,6596.0,6596.75,SELL
6596.75,6597.0,6594.75,6596.0,SELL
6595.75,6597.75,6594.5,6597.75,BUY
6597.75,6599.0,6597.5,6598.0,BUY
6598.25,6598.25,6596.5,6597.5,SELL
6597.75,6598.0,6596.25,6597.0,SELL
6597.0,6598.75,6595.5,6596.5,SELL
6596.5,6598.0,6596.0,6598.0,BUY
6597.75,6597.75,6595.25,6596.25,SELL
6596.25,6598.25,6596.0,6598.25,BUY
6598.5,6601.5,6597.25,6597.25,SELL
6597.5,6598.5,6596.5,6597.25,SELL
6597.5,6597.5,6595.25,6597.25,SELL
6597.5,6597.5,6596.75,6597.0,SELL
6597.0,6597.5,6596.25,6597.25,BUY
6597.75,6597.75,6596.5,6597.0,SELL
6597.25,6598.0,6596.75,6597.75,BUY
6597.75,6599.75,6597.25,6598.75,BUY
6599.25,6599.5,6597.25,6599.5,BUY
6599.75,6605.25,6599.75,6604.0,BUY
6604.25,6604.25,6601.5,6602.75,SELL
6602.5,6603.75,6601.5,6602.5,HOLD
6602.75,6605.75,6602.25,6605.0,BUY
6605.0,6605.0,6603.0,6603.75,SELL
6604.0,6604.25,6602.5,6603.0,SELL
6602.75,6605.0,6602.75,6603.75,BUY
6603.75,6605.0,6603.0,6605.0,BUY
6604.75,6605.5,6604.25,6605.0,BUY
6605.0,6605.25,6602.25,6603.5,SELL
6604.0,6604.0,6602.25,6602.75,SELL
6603.0,6603.25,6602.0,6602.0,SELL
6602.25,6604.5,6602.0,6604.5,BUY
6604.75,6605.25,6603.25,6604.75,HOLD
6605.0,6608.0,6604.5,6606.5,BUY
6606.25,6608.25,6605.25,6607.0,BUY
6607.0,6607.75,6605.5,6607.5,BUY
6607.5,6608.5,6606.5,6606.5,SELL
6606.5,6608.0,6604.75,6607.5,BUY
6607.75,6609.0,6606.75,6608.0,BUY
6607.75,6611.75,6607.5,6610.5,BUY
6610.5,6611.5,6610.0,6610.25,SELL
6610.5,6611.0,6609.25,6610.25,SELL
6610.25,6616.75,6609.5,6616.5,BUY
6616.75,6616.75,6614.0,6614.5,SELL
6614.25,6615.25,6613.5,6614.75,BUY
6614.5,6614.5,6611.0,6612.0,SELL
6612.25,6613.25,6611.75,6612.5,BUY
6612.25,6615.75,6612.25,6615.0,BUY
6615.0,6615.5,6613.0,6613.5,SELL
6614.0,6617.0,6613.5,6616.25,BUY
6616.5,6616.75,6613.75,6615.75,SELL
6615.75,6616.0,6614.5,6615.0,SELL
6615.25,6617.25,6615.25,6616.5,BUY
6616.25,6617.25,6615.0,6616.75,BUY
6616.5,6620.25,6616.25,6619.0,BUY
6619.0,6619.0,6616.75,6617.0,SELL
6617.0,6618.25,6616.75,6618.25,BUY
6618.25,6619.0,6616.0,6617.0,SELL
6617.0,6620.25,6617.0,6619.75,BUY
6619.75,6620.75,6619.0,6619.5,SELL
